name,url,code,code_link,code_nav,has_children
Вилы садовоогородные,/category/vily-sadovoogorodnye-6185,vily-sadovoogorodnye-6185,vily-sadovoogorodnye-6185Link,vily-sadovoogorodnye-6185NavNode,False
Грабли,/category/grabli-6184,grabli-6184,grabli-6184Link,grabli-6184NavNode,False
Щетки и мётлы,/category/uborochnyj-inventar-4842,uborochnyj-inventar-4842,schetki-i-metly-4842Link,cmsitem_00029018,False
Тачки садовые,/category/tachki-sadovye-4934,tachki-sadovye-4934,tachki-sadovye-4934Link,tachki-sadovye-4934NavNode,True
Колеса для тачек,/category/kolesa-dlja-tachek-8442,kolesa-dlja-tachek-8442,kolesa-dlja-tachek-8442Link,kolesa-dlja-tachek-8442NavNode,False
Садовые и строительные тачки,/category/sadovye-i-stroitelnye-tachki-4936,sadovye-i-stroitelnye-tachki-4936,sadovye-i-stroitelnye-tachki-4936Link,sadovye-i-stroitelnye-tachki-4936NavNode,False
"Лопаты, черенки",/category/lopaty-cherenki-9317,lopaty-cherenki-9317,lopaty-cherenki-9317Link,lopaty-cherenki-9317NavNode,True
Черенки,/category/cherenki-6187,cherenki-6187,cherenki-6187Link,cherenki-6187NavNode,False
Лопаты,/category/lopaty-8385,lopaty-8385,lopaty-8385Link,lopaty-8385NavNode,False
Хозяйственные товары,/category/hozjajstvennye-tovary-4975,hozjajstvennye-tovary-4975,hozjajstvennye-tovary-4975Link,hozjajstvennye-tovary-4975NavNode,True
Туалетная бумага,/category/tualetnaja-bumaga-4835,tualetnaja-bumaga-4835,tualetnaja-bumaga-4835Link,tualetnaja-bumaga-4835NavNode,False
Бытовой инструмент,/category/bytovoj-instrument-6346,bytovoj-instrument-6346,ustrojstva-dlja-zatochki-nozhej-6346Link,ustrojstva-dlja-zatochki-nozhej-6346NavNode,False
Перчатки хозяйственные ,/category/perchatki-hozjajstvennye-13333,perchatki-hozjajstvennye-13333,cmsitem_00030088,cmsitem_00030090,False
Коробки,/category/korobki-5016,korobki-5016,pakety-i-korobki-5016Link,pakety-i-korobki-5016NavNode,False
Ведра и тазы,/category/vedra-i-tazy-6274,vedra-i-tazy-6274,vedra-i-tazy-6274Link,vedra-i-tazy-6274NavNode,False
Защитные пленки,/category/zaschitnye-plenki-5015,zaschitnye-plenki-5015,zaschitnye-plenki-5015Link,zaschitnye-plenki-5015NavNode,False
"Клейкие ленты, скотч",/category/klejkie-lenty-skotch-5616,klejkie-lenty-skotch-5616,klejkie-lenty-skotch-5616Link,klejkie-lenty-skotch-5616NavNode,False
Мешки для мусора,/category/meshki-dlja-musora-5066,meshki-dlja-musora-5066,meshki-dlja-musora-5066Link,meshki-dlja-musora-5066NavNode,False
Бытовая химия,/category/bytovaja-himija-8780,bytovaja-himija-8780,spetsialnye-sredstva-8780Link,spetsialnye-sredstva-8780NavNode,False
Уборочный инвентарь,/category/uborochnyj-inventar-4842,uborochnyj-inventar-4842,cmsitem_00609000,cmsitem_00609002,False
Средства защиты и спецодежда,/category/sredstva-zashhity-i-specodezhda-4983,sredstva-zashhity-i-specodezhda-4983,sredstva-individualnoj-zaschity-4983Link,sredstva-individualnoj-zaschity-4983NavNode,True
Страховочные пояса,/category/strahovochnye-pojasa-13512,strahovochnye-pojasa-13512,pojas-predohranitelnyj-13512Link,pojas-predohranitelnyj-13512NavNode,False
Защита ног,/category/zashhita-nog-4993,zashhita-nog-4993,nakolenniki-4993Link,nakolenniki-4993NavNode,False
Защита слуха,/category/zashhita-sluha-4991,zashhita-sluha-4991,naushniki-zaschitnye-4991Link,naushniki-zaschitnye-4991NavNode,False
Защита головы,/category/zashhita-golovy-4990,zashhita-golovy-4990,kaski-zaschitnye-4990Link,kaski-zaschitnye-4990NavNode,False
Защита дыхания,/category/zashhita-dyhanija-5002,zashhita-dyhanija-5002,respiratory-5002Link,respiratory-5002NavNode,False
Защита зрения,/category/zashhita-zrenija-5001,zashhita-zrenija-5001,ochki-zaschitnye-5001Link,ochki-zaschitnye-5001NavNode,False
Защита рук,/category/zashhita-ruk-5000,zashhita-ruk-5000,perchatki-5000Link,perchatki-5000NavNode,False
Спецодежда,/category/specodezhda-4985,specodezhda-4985,kombinezony-zaschitnye-4985Link,kombinezony-zaschitnye-4985NavNode,False
Благоустройство территории,/category/blagoustrojstvo-territorii-13434,blagoustrojstvo-territorii-13434,blagoustrojstvo-territorii-13434Link,blagoustrojstvo-territorii-13434NavNode,True
Заборы и ограждения,/category/zabory-i-ograzhdenija-5159,zabory-i-ograzhdenija-5159,zabory-i-ograzhdenija-5159Link,zabory-i-ograzhdenija-5159NavNode,True
Шпингалеты и крючки,/category/shpingalety-i-krjuchki-5409,shpingalety-i-krjuchki-5409,shpingalety-5409Link,cmsitem_00030049,False
Петля для ворот,/category/petlja-dlja-vorot-5417,petlja-dlja-vorot-5417,petlja-dlja-vorot-5417Link,petlja-dlja-vorot-5417NavNode,False
Столбы заборные,/category/stolby-zabornye-5161,stolby-zabornye-5161,stolby-zabornye-5161Link,stolby-zabornye-5161NavNode,False
Сетка для забора,/category/setka-dlja-zabora-253006,setka-dlja-zabora-253006,cmsitem_00597000,cmsitem_00597002,False
Сетка Рабица,/category/setka-rabitsa-5625,setka-rabitsa-5625,setka-rabitsa-5625Link,cmsitem_00030043,False
 Комплектующие для ограждений,/category/komplektujushhie-dlja-ograzhdenij-13377,komplektujushhie-dlja-ograzhdenij-13377,homuty-dlja-svarnoj-setki-13377Link,homuty-dlja-svarnoj-setki-13377NavNode,False
Модульные ограждения,/category/modulnye-ograzhdenija-5160,modulnye-ograzhdenija-5160,zabornye-reshetki-5160Link,zabornye-reshetki-5160NavNode,False
Металлоштакетник,/category/metalloshtaketnik-8697,metalloshtaketnik-8697,metalloshtaketnik-8697Link,metalloshtaketnik-8697NavNode,False
Профнастил,/category/profnastil-5243,profnastil-5243,profnastil-5243Link,cmsitem_00030035,False
"Дренажные системы, отвод воды",/category/drenazhnye-sistemy-otvod-vody-8173,drenazhnye-sistemy-otvod-vody-8173,drenazhnye-sistemy-otvod-vody-8173Link,drenazhnye-sistemy-otvod-vody-8173NavNode,True
Геотекстиль,/category/geotekstil-5528,geotekstil-5528,geotekstil-5528Link,geotekstil-5528NavNode,False
Комплектующие для дренажа и водоотвода,/category/komplektujushhie-dlja-drenazha-i-vodootvoda-6832,komplektujushhie-dlja-drenazha-i-vodootvoda-6832,komplektujuschie-dlja-vodootvoda-6832Link,komplektujuschie-dlja-vodootvoda-6832NavNode,False
Дренажные колодцы,/category/drenazhnye-kolodtsy-5661,drenazhnye-kolodtsy-5661,ljuk-kolodeznyj-5661Link,ljuk-kolodeznyj-5661NavNode,False
Дренажные трубы,/category/drenazhnye-truby-158000,drenazhnye-truby-158000,cmsitem_00411000,cmsitem_00411002,False
Водоприемные решетки,/category/vodopriemnye-reshetki-6828,vodopriemnye-reshetki-6828,vodopriemnye-reshetki-6828Link,vodopriemnye-reshetki-6828NavNode,False
Водоотводные лотки,/category/vodootvodnye-lotki-6824,vodootvodnye-lotki-6824,vodootvodnye-lotki-6824Link,vodootvodnye-lotki-6824NavNode,False
Тротуары и дорожки,/category/trotuary-i-dorozhki-5276,trotuary-i-dorozhki-5276,trotuary-i-dorozhki-5276Link,trotuary-i-dorozhki-5276NavNode,True
Противогололедные реагенты,/category/protivogololednye-reagenty-5793,protivogololednye-reagenty-5793,protivogololednye-reagenty-5793Link,protivogololednye-reagenty-5793NavNode,False
Холодный асфальт,/category/holodnyj-asfalt-5650,holodnyj-asfalt-5650,holodnyj-asfalt-5650Link,holodnyj-asfalt-5650NavNode,False
Бордюр тротуарный,/category/bordjur-trotuarnyj-5278,bordjur-trotuarnyj-5278,bordjur-trotuarnyj-5278Link,bordjur-trotuarnyj-5278NavNode,False
Брусчатка и плитка тротуарная,/category/bruschatka-i-plitka-trotuarnaja-5277,bruschatka-i-plitka-trotuarnaja-5277,plitka-trotuarnaja-5277Link,plitka-trotuarnaja-5277NavNode,False
Вентиляция и кондиционирование,/category/ventiljatsija-i-konditsionirovanie-6723,ventiljatsija-i-konditsionirovanie-6723,ventiljatsija-i-konditsionirovanie-6723Link,ventiljatsija-i-konditsionirovanie-6723NavNode,True
Вентиляторы,/category/ventilyatory-40011,ventilyatory-40011,cmsitem_00048006,cmsitem_00048008,False
Кондиционеры,/category/kondicionery-40031,kondicionery-40031,cmsitem_00042000,cmsitem_00042002,False
Труба гофрированная для вентиляции,/category/truba-gofrirovannaja-dlja-ventiljatsii-7986,truba-gofrirovannaja-dlja-ventiljatsii-7986,truba-gofrirovannaja-dlja-ventiljatsii-7986Link,truba-gofrirovannaja-dlja-ventiljatsii-7986NavNode,False
Решетки вентиляционные,/category/reshetki-ventiljacionnye-6748,reshetki-ventiljacionnye-6748,reshetka-ventiljatsionnaja-6748Link,reshetka-ventiljatsionnaja-6748NavNode,False
Вентиляторы вытяжные,/category/ventiljator-6754,ventiljator-6754,ventiljator-6754Link,ventiljator-6754NavNode,False
Люк ревизионный,/category/ljuk-revizionnyj-7199,ljuk-revizionnyj-7199,ljuk-revizionnyj-7199Link,ljuk-revizionnyj-7199NavNode,False
Комплектующие к вентиляции,/category/komplektujuschie-k-ventiljatsii-7985,komplektujuschie-k-ventiljatsii-7985,komplektujuschie-k-ventiljatsii-7985Link,komplektujuschie-k-ventiljatsii-7985NavNode,False
Воздуховоды для вентиляции,/category/vozduhovody-dlja-ventiljacii-6737,vozduhovody-dlja-ventiljacii-6737,ventiljatsionnye-kanaly-6737Link,ventiljatsionnye-kanaly-6737NavNode,False
Сантехника,/category/santehnika-6943,santehnika-6943,santehnika-6943Link,santehnika-6943NavNode,True
Сантехнический крепеж,/category/krepezh-santehnicheskij-6995,krepezh-santehnicheskij-6995,cmsitem_00535027,cmsitem_00535029,False
Аксессуары для ванной,/category/aksessuary-dlja-vannoj-9006,aksessuary-dlja-vannoj-9006,aksessuary-dlja-vannoj-9006Link,aksessuary-dlja-vannoj-9006NavNode,True
Зеркалодержатели,/category/zerkaloderzhateli-7335,zerkaloderzhateli-7335,zerkaloderzhateli-7335Link,zerkaloderzhateli-7335NavNode,False
Крючки для ванной,/category/krjuchki-dlja-vannoj-5037,krjuchki-dlja-vannoj-5037,krjuchki-dlja-vannoj-5037Link,krjuchki-dlja-vannoj-5037NavNode,False
Ершики,/category/ershiki-5041,ershiki-5041,ershiki-5041Link,ershiki-5041NavNode,False
Полотенцедержатели,/category/polotentsederzhateli-9692,polotentsederzhateli-9692,polotentsederzhateli-9692Link,polotentsederzhateli-9692NavNode,False
Держатели туалетной бумаги,/category/derzhateli-tualetnoj-bumagi-5038,derzhateli-tualetnoj-bumagi-5038,derzhateli-tualetnoj-bumagi-5038Link,derzhateli-tualetnoj-bumagi-5038NavNode,False
Душ и кабины,/category/dush-8997,dush-8997,dush-8997Link,dush-8997NavNode,True
Гигиенический душ,/category/gigienicheskij-dush-9653,gigienicheskij-dush-9653,gigienicheskij-dush-9653Link,cmsitem_00001034,False
Комплектующие для душа,/category/komplektujuschie-dlja-dusha-8998,komplektujuschie-dlja-dusha-8998,komplektujuschie-dlja-dusha-8998Link,komplektujuschie-dlja-dusha-8998NavNode,True
Верхний душ,/category/verhnij-dush-9738,verhnij-dush-9738,verhnij-dush-9738Link,verhnij-dush-9738NavNode,False
Стойки для душа,/category/stojki-dlja-dusha-6964,stojki-dlja-dusha-6964,stojki-dlja-dusha-6964Link,stojki-dlja-dusha-6964NavNode,False
